Student Name,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 8665,Artificial Intelligence & Machine Learning,United Arab Emirates,Secondary School,Male,5,In-person,8,Mathematics,Beginner,Robotics Innovative Learning,4
student 8666,Virtual Robotics & Mechatronics,United Arab Emirates,Arab Unity School,Female,5,Online,96,Art,Intermediate,Robotics Innovative Learning,3
student 8667,Technology Innovative Learning,United Arab Emirates,Kido,Female,5,Online,48,Sports,Intermediate,Technology Innovative Learning,3
student 8668,Metaverse,United Arab Emirates,The winchester school jabal ali,Male,5,Hybrid,48,Art,Beginner,AI,3
student 8669,Scratch Coding,United Arab Emirates,GIIS,Female,5,In-person,8,Mathematics,Applied Tech,Python,5
student 8670,Drone Technology & Aerodynamics,Oman,Kings school Dubai,Male,5,In-person,24,Science,Beginner,Game Development,4
student 8671,Young Innovator,United Arab Emirates,Gems FirstPoint School,Female,5,Hybrid,24,Art,Intermediate,Coding for kids,5
student 8672,Technology Onsite - Sunmarke - Team 1,United Arab Emirates,Coursetakers,Female,5,Online,96,Art,Beginner,Technology Innovative Learning,5
student 8673,STEM Sr,United Arab Emirates,Emirates International School (Meadows),Male,5,Online,8,Art,Proficiency,3D Designing,3
student 8674,Young Designer,United Arab Emirates,Emirates International School (Meadows),Female,5,Online,24,Mathematics,Intermediate,Game Development,3
student 8675,Drone Technology & Aerodynamics,United Arab Emirates,Amity School L.L.C,Male,5,Online,48,Mathematics,Beginner,Python,4
student 8676,Train the Trainer,Uganda,Uptown School,Male,5,Hybrid,48,Mathematics,Intermediate,App Development,5
student 8677,FIRST LEGO LEAGUE (FLL - 2022/23),United Arab Emirates,Inb Al Haitham government school,Female,5,In-person,48,Art,Intermediate,Graphics Designing,4
student 8678,Technology Onsite - Sunmarke - Team 1,United Arab Emirates,Raffles World Academy,Male,5,Hybrid,24,Technology,Beginner,App Development,3
student 8679,Gulf News - Artificial Intelligence,India,Ruth Thompson Middle School,Female,5,In-person,8,Art,Proficiency,3D Designing,3
student 8680,Summer Camp 2022,United Arab Emirates,Gulf Asian English school,Female,5,Hybrid,48,Sports,Proficiency,AI,4
student 8681,"CIS, Dubai - Stem Junior Year (3 -6)",United Arab Emirates,Children academy,Female,5,In-person,8,Science,Intermediate,3D Designing,4
student 8682,Bootcamp - Artificial Intelligence,United Arab Emirates,Ils,Male,5,In-person,24,Music,Beginner,App Development,3
student 8683,STEM Sr,United Arab Emirates,Al Rowad international,Female,5,Hybrid,48,Art,Beginner,App Development,3
student 8684,Technology Onsite - Sunmarke - Team 1,United Arab Emirates,Alshola private school,Female,5,In-person,24,Mathematics,Intermediate,Coding for kids,3
student 8685,"CIS, Dubai - Stem Junior Year (3 -6)",Nigeria,Al Watania,Female,5,Hybrid,96,Mathematics,Beginner,AI,3
student 8686,Technology Innovative Learning,UAE,New Indian Model School,Female,10,Hybrid,48,Art,Applied Tech,Game Development,4
student 8687,Game Development - Block-Based,Afghanistan,Bright Rider's School,Female,4,In-person,96,Science,Intermediate,Technology Innovative Learning,3
student 8688,Summer Camp 2022,United Arab Emirates,Mayoor Pvt School,Female,KG 2,Hybrid,48,Art,Proficiency,Python,4
student 8689,Summer Camp 2022,United Kingdom,Mayoor Pvt School,Male,KG 1,Online,24,Technology,Intermediate,Graphics Designing,3
student 8690,Tech Innovator,Bahrain,Millennium School SHJ,Female,8,Hybrid,8,Art,Intermediate,App Development,4
student 8691,Artificial Intelligence and Machine Learning,Bosnia and Herzegovina,MAHE Dubai,Male,10,Online,48,Music,Beginner,Python,3
student 8692,FIRST LEGO LEAGUE (FLL - 2022/23),India,Homeschool Global Middle east,Female,5,Hybrid,8,Mathematics,Proficiency,Robotics Innovative Learning,3
student 8693,Spring Camps,United Arab Emirates,KES,Female,5,In-person,48,Sports,Applied Tech,Game Development,3
student 8694,Public Speaking & Entrepreneurship,Cook Islands,New Indian Model School,Male,5,Hybrid,24,Art,Beginner,Python,3
student 8695,Electronics for Kids,Turkey,American School of Creative Sciences,Female,5,In-person,48,Music,Applied Tech,Coding for kids,5
student 8696,3D Designing and Printing,Saudi Arabia,Al Naseem International School,Female,5,Hybrid,48,Art,Intermediate,Game Development,3
student 8697,Spring Camps,Uruguay,Diyafah International School Abu Dhabi,Male,5,Online,48,Science,Applied Tech,Robotics Innovative Learning,4
student 8698,Data Science,Canada,"Global Indian Inter. School, DXB",Male,5,In-person,48,Science,Applied Tech,Python,4
student 8699,"Public Speaking, Design Thinking and Junior Entrepreneur Program for Students",Jordan,JPS Sharjah,Male,5,In-person,24,Art,Applied Tech,Coding for kids,4
student 8700,Artificial Intelligence for Non Programmers,Bosnia and Herzegovina,GEMS Our Own English High School,Male,5,Hybrid,8,Science,Beginner,Coding for kids,5
student 8701,Artificial Intelligence,Ireland,Ruth Thompson Middle School,Male,5,In-person,96,Mathematics,Beginner,App Development,3
student 8702,Robotics Innovative Learning,Palestine,Mesty Croft Primary,Female,5,In-person,48,Technology,Applied Tech,Game Development,4
student 8703,Young Designer Program,Uganda,JSSIS,Male,5,Online,24,Sports,Applied Tech,Graphics Designing,3
student 8704,Electronics for Kids,Syria,Lodha World School,Male,5,Hybrid,48,Science,Intermediate,App Development,5
student 8705,Tech Innovator,United Arab Emirates,IISD,Female,7,Online,24,Music,Beginner,3D Designing,4
student 8706,Programming & Coding - Python/JAVA/HTML/C/C++,Iraq,Apple International School,Female,5,Hybrid,48,Music,Intermediate,3D Designing,4
student 8707,Gulf News - Robotics Innovative Learning,IndiaSpain,ASPAM,Female,5,Hybrid,48,Art,Beginner,Robotics Innovative Learning,5
student 8708,Graphics Designing,Ukraine,The Westminster School,Male,5,Hybrid,96,Music,Applied Tech,Technology Innovative Learning,4
student 8709,Public Speaking & Entrepreneurship,Poland,"Middle East International School, Doha,Qatar",Female,5,Hybrid,48,Art,Intermediate,Robotics Innovative Learning,3
student 8710,Programming & Coding - Python/JAVA/HTML/C/C++,Ireland,Bateen w,Male,5,Hybrid,24,Music,Beginner,3D Designing,4
student 8711,Drone Technology & Aerodynamics,Palestine,Cambridge International School,Female,5,Hybrid,24,Sports,Proficiency,Python,4
student 8712,School,Oman,St marys icse,Male,5,In-person,48,Music,Applied Tech,Game Development,5
student 8713,Artificial Intelligence Winter Internship Program,Jordan,Army Public School,Male,5,Hybrid,24,Art,Intermediate,3D Designing,3
student 8714,App Design and Development,Switzerland,GEMS Westminster,Female,5,Hybrid,24,Mathematics,Beginner,Robotics Innovative Learning,3
student 8715,Electronics for Kids,Oman,New millennium school Bahrain,Female,10,In-person,24,Technology,Proficiency,Robotics Innovative Learning,4
student 8716,3D Designing,New Zealand,GEMS United School,Female,10,Online,96,Music,Beginner,Graphics Designing,5
student 8717,Summer Camp 2022,Bahrain,Sacred heart school,Male,8,Online,48,Science,Proficiency,Python,4
student 8718,AI,Russia,Uptown School,Female,10,Online,48,Science,Proficiency,Graphics Designing,4
student 8719,Technology Onsite,Armenia,Dubai International Academy,Female,5,Hybrid,24,Mathematics,Beginner,Game Development,4
student 8720,Space STEM,Venezuela,The Alpha School LLC,Male,5,Hybrid,24,Mathematics,Intermediate,Robotics Innovative Learning,3
student 8721,Tech Summer Camp for Juniors,Egypt,Sharjah Private International School,Male,5,Online,96,Music,Applied Tech,Technology Innovative Learning,4
student 8722,Drone Technology & Aerodynamics,Nigeria,Sunmarke School,Male,5,Online,24,Art,Beginner,App Development,4
student 8723,Gulf News - Artificial Intelligence,Poland,St. Mary Catholic High School Dubai - Al Muhaisnah,Female,5,Online,24,Sports,Intermediate,Python,4
student 8724,Gulf News - Game and App Development,Canada,GEMS Wellington Academy,Male,5,Online,24,Sports,Intermediate,Technology Innovative Learning,3
student 8725,Young Web Developer,Korea,GEMS Our Own English High School,Male,5,In-person,24,Technology,Proficiency,Technology Innovative Learning,3
student 8726,"CIS, Dubai - Stem Junior Year (3 -6)",Taiwan,MSB Private School,Male,5,Online,8,Mathematics,Applied Tech,AI,3
student 8727,VEX IQ Competition (VIQC - 2022 / 23),Jordan,GEMS World Academy,Female,5,Hybrid,48,Science,Beginner,Python,3
student 8728,Gulf News - Data Analysis with Python,Taiwan,Cambridge International School,Female,5,Hybrid,48,Technology,Intermediate,3D Designing,3
student 8729,VEX IQ Competition (VIQC - 2022 / 23),UAE,online lead,Female,5,In-person,24,Art,Applied Tech,AI,5
student 8730,Electronics for Kids,KSA,Gemi NM,Male,5,Hybrid,48,Science,Applied Tech,Robotics Innovative Learning,4
student 8731,Programming & Coding - Python/JAVA/HTML/C/C++,Oman,Amity International School,Female,5,Online,24,Mathematics,Beginner,AI,4
student 8732,App Development,United States,Advanced Learning Schools Riyadh,Male,5,Online,8,Art,Intermediate,Game Development,3
student 8733,ALIF Robotics Workshop,Oman,International school of Choueifat,Male,5,Hybrid,8,Mathematics,Applied Tech,Game Development,3
student 8734,LEGO Robotics,Cameroon,Private,Female,5,Online,24,Art,Intermediate,Python,3
student 8735,Gulf News - Game and App Development,Iran (Islamic Republic of),Raffles International School -Um Suqeim South BR,Male,5,Hybrid,48,Music,Beginner,App Development,4
student 8736,Artificial Intelligence & Machine Learning,Malaysia,Ils,Male,5,Hybrid,96,Music,Proficiency,3D Designing,3
student 8737,Young Product Designer,United Kingdom,Al Manar International school,Male,5,In-person,96,Music,Proficiency,3D Designing,5
student 8738,Electronics for Kids,India,Cambridge International School Private,Male,5,Online,48,Sports,Intermediate,Coding for kids,5
student 8739,Game Dev with SCRATCH,Bahrain,Edyscan Spl kid,Female,5,In-person,48,Sports,Proficiency,AI,4
student 8740,Summer Camp 2022,Ireland,Colaiste Eoin,Female,9,In-person,96,Mathematics,Applied Tech,3D Designing,3
student 8741,Robotics/Virtual Robotics/Robotics Programming,Malaysia,Global Indian International School L.L.C,Female,5,In-person,48,Science,Applied Tech,Game Development,5
student 8742,Technology Onsite - Regent - Team 1,Qatar,GEMS Wellington International School,Male,5,Online,48,Science,Beginner,Game Development,3
student 8743,JAVA Programming,United Arab Emirates,JPS Sharjah,Male,5,Online,8,Music,Proficiency,Robotics Innovative Learning,5
student 8744,Microsoft Arcade,Malaysia,Sacred heart school,Female,5,Hybrid,24,Mathematics,Proficiency,Python,4
student 8745,French Language Course,Kuwait,ASPAM,Male,5,Online,48,Music,Intermediate,Coding for kids,5
student 8746,3D Designing and Printing,Kuwait,Gemi NM,Female,5,In-person,48,Technology,Applied Tech,AI,5
student 8747,"CIS, Dubai - Tech Innovator Year (7 -10)",Canada,Lodha World School,Male,5,Online,24,Science,Applied Tech,Robotics Innovative Learning,4
student 8748,VEX Robotics Competition (VRC - 2023/24),Malaysia,GIIS,Male,5,Hybrid,24,Science,Applied Tech,App Development,5
student 8749,Game Combat Championship (GCC),Iran (Islamic Republic of),Amity International School,Female,5,In-person,24,Art,Beginner,Python,3
student 8750,Python Programming,Oman,AL SMO,Male,5,In-person,48,Music,Intermediate,AI,5
student 8751,App Design and Development,Malaysia,Scottish High International School,Female,5,Hybrid,8,Sports,Intermediate,Game Development,4
student 8752,ALIF Robotics Workshop,Oman,Mayoor Private school  abudhabi,Male,5,Online,96,Technology,Beginner,App Development,3
student 8753,Mid Term Program,United Arab Emirates,The Westminster School,Female,5,In-person,96,Music,Beginner,Technology Innovative Learning,5
student 8754,Game Development - Block-Based,Saudi Arabia,Learning Oasis International School,Male,5,Hybrid,24,Technology,Proficiency,AI,3
student 8755,Graphic Designing,United Arab Emirates,Regent International Private School,Male,5,Online,48,Sports,Applied Tech,AI,3
student 8756,"CIS, Dubai - Stem Junior Year (3 -6)",Taiwan,The Indian High School-Branch,Male,5,In-person,48,Technology,Applied Tech,Coding for kids,4
student 8757,Young Designer,United Arab Emirates,Kido,Female,5,Hybrid,96,Art,Proficiency,Graphics Designing,3
student 8758,Coding for kids,United Arab Emirates,Al Manar International school,Female,5,Hybrid,96,Science,Beginner,Technology Innovative Learning,3
student 8759,World Robot Olympiad Webinar,United Arab Emirates,Cambridge International School,Female,5,Online,24,Mathematics,Applied Tech,Game Development,4
student 8760,Microsoft Arcade,Cuba,Cambridge High School,Male,5,In-person,48,Science,Beginner,Graphics Designing,3
student 8761,Young Designer Program,United Arab Emirates,Al Salam Private School,Male,5,Hybrid,24,Mathematics,Applied Tech,Game Development,5
student 8762,Technology Onsite - Sunmarke - Team 1,United Arab Emirates,In Phillipines,Female,5,Hybrid,24,Science,Proficiency,App Development,4
student 8763,Robotics Innovative Learning,United Arab Emirates,Repton Dubai,Female,5,In-person,96,Music,Proficiency,Python,3
student 8764,STEM Jr,Cuba,Sharjah Indian school,Female,5,Hybrid,96,Technology,Applied Tech,App Development,4
student 8765,Robotics Innovative Learning,Saudi Arabia,Bright Riders,Male,5,In-person,96,Art,Beginner,Coding for kids,5
student 8766,Graphic Designing & Animation,Qatar,Holi child auxillianlm,Male,5,Online,8,Music,Applied Tech,AI,3
student 8767,Young App Developer,Venezuela,Private,Male,5,In-person,48,Mathematics,Applied Tech,Game Development,5
student 8768,Young Innovator,Saudi Arabia,Grammar School,Female,5,Hybrid,24,Music,Applied Tech,AI,4
student 8769,Technology Boot Camp,United Arab Emirates,Al Diyafah High School,Female,5,In-person,48,Mathematics,Intermediate,Graphics Designing,3
student 8770,Young Product Designer,United Arab Emirates,Children academy,Male,5,Hybrid,48,Science,Beginner,Graphics Designing,4
student 8771,World Robot Olympiad Webinar,Malaysia,other,Male,5,Online,24,Mathematics,Beginner,Coding for kids,3
student 8772,Young Designer Program,Oman,Holi child auxilliam,Male,5,Hybrid,48,Art,Proficiency,Python,3
student 8773,Artificial Intelligence Summer Program & Internship,United Arab Emirates,GEMS Westminster,Female,5,In-person,24,Music,Beginner,Graphics Designing,3
student 8774,Graphics Designing,Saudi Arabia,Al majd international school,Male,5,Hybrid,24,Sports,Proficiency,3D Designing,4
student 8775,STEM Jr,Oman,Raffles International School -Um Suqeim South BR,Female,5,In-person,24,Mathematics,Intermediate,Graphics Designing,5
student 8776,Robotics/Virtual Robotics/Robotics Programming,Qatar,Gulf Asian English school,Female,5,In-person,96,Mathematics,Intermediate,Graphics Designing,4
student 8777,Young Product Designer,United Arab Emirates,Rani Laxmi Bai Inter College,Female,5,Online,8,Science,Applied Tech,App Development,5
student 8778,Half Term Camp 2022-23,United Arab Emirates,IHS,Male,5,In-person,24,Technology,Proficiency,Coding for kids,4
student 8779,Graphics Designing,Oman,"DPS, Doha",Male,5,Online,24,Technology,Beginner,Game Development,4
student 8780,"CIS, Dubai - Tech Innovator Year (7 -10)",Switzerland,Al Naseem International School,Female,5,Online,48,Music,Applied Tech,Game Development,3
student 8781,"CIS, Dubai - Stem Junior Year (3 -6)",USA,Cbsd,Male,10,Hybrid,8,Mathematics,Applied Tech,Coding for kids,3
student 8782,Summer Camp 2022,Qatar,Rajagiri Public School,Female,4,Hybrid,48,Music,Applied Tech,Python,5
student 8783,Summer Camp 2022,Ireland,GET,Female,2,Hybrid,48,Music,Applied Tech,AI,3
student 8784,Artificial Intelligence Winter Internship Program,Cuba,The Millenium School,Female,10,Hybrid,96,Sports,Applied Tech,3D Designing,4
student 8785,Artificial Intelligence Winter Internship Program,Qatar,ST laurence school Sallins,Male,5,Online,24,Art,Beginner,Graphics Designing,4
student 8786,3D Designing,United Arab Emirates,Heritage,Female,5,In-person,24,Science,Proficiency,3D Designing,3
student 8787,VEX Robotics Competition (VRC - 2023/24),United Arab Emirates,Shaufa International School,Female,5,Hybrid,48,Art,Intermediate,Python,4
student 8788,Coding for kids,United Arab Emirates,Apple International School,Male,5,In-person,24,Music,Intermediate,AI,5
student 8789,Artificial Intelligence Program,Oman,Indian High School,Female,5,Online,48,Art,Proficiency,Python,4
student 8790,Programming & Coding - Python/JAVA/HTML/C/C++,United Arab Emirates,The Arbor School,Female,5,Online,96,Science,Proficiency,Robotics Innovative Learning,4
student 8791,Young App Developer,Saudi Arabia,Dubai International Academy,Female,5,Online,48,Science,Applied Tech,Graphics Designing,4
student 8792,JAVA,United Arab Emirates,Gemi NM,Female,5,In-person,48,Technology,Applied Tech,Graphics Designing,4
student 8793,FIRST LEGO LEAGUE (FLL - 2022/23),United Arab Emirates,GEMS Jumeirah Primary School,Male,5,Online,24,Science,Applied Tech,AI,4
student 8794,Public Speaking & Entrepreneurship,Saudi Arabia,Kings College Doha,Female,5,Online,24,Sports,Proficiency,Robotics Innovative Learning,3
student 8795,Young Honcho,Saudi Arabia,The Millenium School,Female,5,Online,24,Art,Beginner,AI,4
student 8796,Art & Craft for Juniors,Saudi Arabia,GEMS Modern Academy,Female,5,In-person,48,Mathematics,Intermediate,3D Designing,5
student 8797,STEM Sr,United Arab Emirates,Sunmarke School,Female,2,In-person,48,Mathematics,Beginner,Technology Innovative Learning,3
student 8798,World Robot Olympiad Webinar,Saudi Arabia,Frontline school,Male,5,Hybrid,24,Art,Applied Tech,Python,4
student 8799,FIRST Lego League - Senior,China,"NES International school, mulund west",Female,5,Hybrid,48,Art,Proficiency,Robotics Innovative Learning,4
student 8800,Space STEM,Canada,Dubai English Speaking private college,Female,5,In-person,48,Sports,Beginner,Python,3
student 8801,Electronics for Kids,Saudi Arabia,Ambassador School L.L.C,Female,5,Hybrid,96,Science,Intermediate,Coding for kids,3
student 8802,French Language Course,United Arab Emirates,Children academy,Female,5,In-person,48,Music,Intermediate,Game Development,3
student 8803,Scratch Coding,United Arab Emirates,Gems Founders,Female,5,Online,48,Art,Beginner,Python,3
student 8804,Young Coder,Venezuela,"NES International school, mulund west",Male,5,In-person,48,Technology,Beginner,Technology Innovative Learning,3
student 8805,Python,United Arab Emirates,Gulf Indian High School,Female,5,Hybrid,48,Art,Applied Tech,Python,3
student 8806,Metaverse,United Arab Emirates,The university of texas at arlington,Male,5,In-person,24,Art,Intermediate,3D Designing,3
student 8807,STEM Sr,Saudi Arabia,Al Khaleej National School,Female,5,Hybrid,96,Sports,Beginner,AI,4
student 8808,Game Development,United Arab Emirates,Heritage,Male,5,Online,48,Science,Beginner,Technology Innovative Learning,5
student 8809,Game Dev with SCRATCH,United Arab Emirates,DPS The gerdevn,Male,5,In-person,8,Sports,Beginner,App Development,3
student 8810,STEM Sr,Uganda,"Global Indian Inter. School, DXB",Female,5,In-person,24,Science,Beginner,AI,3
student 8811,Internet of Things,United Arab Emirates,Gems FirstPoint School,Female,5,In-person,24,Art,Applied Tech,3D Designing,4
student 8812,FIRST LEGO LEAGUE (FLL - 2022/23),United Arab Emirates,JSSIS,Male,5,In-person,24,Art,Intermediate,Technology Innovative Learning,4
student 8813,Robotics/Virtual Robotics/Robotics Programming,United Arab Emirates,Arcadia High School,Male,5,Hybrid,8,Art,Beginner,AI,5
student 8814,"CIS, Dubai - Stem Junior Year (3 -6)",United Arab Emirates,"Aspen Heights, Abu Dhabi",Male,5,In-person,48,Sports,Intermediate,Technology Innovative Learning,5
student 8815,"CIS, Dubai - Stem Junior Year (3 -6)",Saudi Arabia,Pakistan Educational Academy,Male,5,In-person,8,Science,Beginner,Graphics Designing,4
student 8816,Gulf News - Artificial Intelligence,United Arab Emirates,American International School,Female,5,In-person,96,Technology,Beginner,Coding for kids,3
student 8817,Game Development - Microsoft Arcade,United Arab Emirates,Uptown School,Male,5,In-person,24,Technology,Intermediate,3D Designing,4
student 8818,Artificial Intelligence of Things (AIoT),United Arab Emirates,Children academy,Male,5,In-person,48,Sports,Intermediate,Python,4
student 8819,3D Designing & Modelling,United Arab Emirates,The winchester school jabal ali,Female,5,Online,24,Sports,Intermediate,AI,5
student 8820,Graphic Designing & Animation,United Arab Emirates,GEMS World Academy,Male,5,In-person,48,Mathematics,Beginner,Graphics Designing,4
student 8821,Artificial Intelligence of Things (AIoT),United Arab Emirates,Al Amana private school,Male,5,Online,24,Art,Proficiency,Python,4
student 8822,Public Speaking & Entrepreneurship,Malaysia,Raffles International School -Um Suqeim South BR,Male,5,Hybrid,24,Science,Intermediate,Technology Innovative Learning,5
student 8823,JAVA Programming,United Arab Emirates,Mayoor Pvt School,Male,5,Online,48,Sports,Applied Tech,App Development,5
student 8824,Young Web Developer,United Arab Emirates,Suchitran,Male,5,Online,24,Mathematics,Applied Tech,AI,3
student 8825,World Robot Olympiad (WRO),Saudi Arabia,Chinese school Dubai,Female,5,Online,24,Technology,Beginner,Game Development,3
student 8826,Technology Innovative Learning,United Arab Emirates,GEMS Wellington Academy- Al Khail,Female,5,Hybrid,48,Music,Proficiency,App Development,4
student 8827,Spring Camps,United Arab Emirates,Li Englisto,Female,5,Hybrid,24,Art,Beginner,3D Designing,4
student 8828,Young Game Developer,Kuwait,The Sultan School,Male,5,Hybrid,24,Technology,Applied Tech,App Development,3
student 8829,Young Web Developer,United Arab Emirates,Al Manar International school,Female,5,In-person,48,Science,Proficiency,Technology Innovative Learning,5
student 8830,STEM Jr,United Arab Emirates,D.t.e.a,Female,5,Hybrid,96,Art,Beginner,Technology Innovative Learning,3
student 8831,Young Game Developer,Canada,Uptown School,Male,5,Online,48,Music,Applied Tech,Robotics Innovative Learning,4
student 8832,Canon Junior Photography,Bahrain,GEMS Our Own Indian School,Male,5,In-person,48,Technology,Applied Tech,AI,3
student 8833,Summer Camp 2022,Malaysia,Al Mawakeb School - Al Garhoud,Male,5,In-person,48,Technology,Proficiency,Robotics Innovative Learning,3
student 8834,World Robot Olympiad Webinar,United Arab Emirates,Al Khaleej National School,Female,5,In-person,48,Art,Applied Tech,Robotics Innovative Learning,3
student 8835,Web Development,Bahrain,Al Watania,Female,5,Hybrid,48,Science,Intermediate,Robotics Innovative Learning,4
student 8836,LEGO Robotics,United Kingdom,Grammar School,Female,5,Hybrid,24,Technology,Beginner,Robotics Innovative Learning,4
student 8837,Artificial Intelligence Summer Program & Internship,United Arab Emirates,Suchitran,Male,5,Hybrid,24,Technology,Intermediate,Game Development,3
student 8838,Arduino,KSA,Al Basateen Private Nursery Hatta branch,Male,5,Online,24,Technology,Beginner,Robotics Innovative Learning,4
student 8839,Game Development with Unity,Afghanistan,Heritage,Male,5,In-person,8,Technology,Applied Tech,Technology Innovative Learning,4
student 8840,Python Programming,Egypt,Cardiff international school / Qatar Finland I fee atop all school,Female,5,Online,24,Art,Proficiency,Coding for kids,3
student 8841,Mid Term Program,Syria,Mayoor Private school  abudhabi,Male,5,Hybrid,24,Art,Applied Tech,Coding for kids,3
student 8842,Python Programming,Pakistan,Colaiste Eoin,Male,9,Hybrid,48,Mathematics,Intermediate,Technology Innovative Learning,5
student 8843,Bootcamp - Artificial Intelligence,UAE,Ambersrdm,Female,5,Online,48,Science,Applied Tech,AI,4
student 8844,Summer Camp 2022,United Arab Emirates,Pristine Private School,Female,4,Online,48,Technology,Proficiency,3D Designing,3
student 8845,Canon Junior Photography,Bahrain,Ambassador International Academy,Male,10,In-person,48,Technology,Intermediate,Technology Innovative Learning,5
student 8846,Summer Camp 2022,United Arab Emirates,Frontline school,Male,5,Hybrid,8,Technology,Proficiency,Game Development,4
student 8847,Artificial Intelligence,Srilanka,"DPS, Jeslselulic",Female,10,Hybrid,8,Technology,Proficiency,Graphics Designing,3
student 8848,Technology Onsite - Regent - Team 1,United States,Star Private School,Female,10,Hybrid,96,Music,Applied Tech,AI,5
student 8849,Mid Term Program,Uganda,GEMS Wellington Academy,Male,10,Hybrid,24,Sports,Applied Tech,Graphics Designing,5
student 8850,FIRST LEGO LEAGUE (FLL - 2022/23),Afghanistan,Grammar School,Male,7,In-person,48,Technology,Intermediate,3D Designing,4
student 8851,Technology Onsite - Sunmarke - Team 1,Uruguay,Chinese school Dubai,Female,2,Hybrid,48,Art,Proficiency,AI,4
student 8852,ALIF Robotics Workshop,Oman,Arcadia School,Male,2,Online,24,Technology,Proficiency,AI,4
student 8853,Young Web Developer,Taiwan,"DPS, Sharjah",Female,1,Online,48,Technology,Proficiency,App Development,4
student 8854,Graphics Designing,Cook Islands,Ambersrdm,Female,KG 1,Hybrid,24,Mathematics,Beginner,3D Designing,3
student 8855,Game Development,Kuwait,Uptown School,Female,1,In-person,48,Art,Applied Tech,Game Development,3
student 8856,Game Dev with SCRATCH,Ukraine,The Winchester School,Male,4,In-person,96,Music,Applied Tech,3D Designing,4
student 8857,Half Term Camp 2022-23,Pakistan,Dammam  Middle School,Female,FS 2,Hybrid,24,Music,Proficiency,Robotics Innovative Learning,5
student 8858,Python Coding,Ireland,IIS,Female,1,Online,24,Art,Intermediate,Coding for kids,4
student 8859,Graphics Designing,New Zealand,ISGi,Male,4,Online,96,Music,Intermediate,Graphics Designing,3
student 8860,Artificial Intelligence for Non Programmers,United Arab Emirates,"GD Goenka Public School, Agra, India",Male,2,Online,48,Music,Beginner,Robotics Innovative Learning,3
student 8861,Summer Camp 2022,United Arab Emirates,Heritage,Female,KG 1,In-person,96,Science,Applied Tech,Robotics Innovative Learning,4
student 8862,Coding For Kids,India,Scuola Dei Bambini,Male,KG 2,Online,48,Music,Beginner,App Development,3
student 8863,Coding For Kids,India,Akg public school,Male,KG 2,Online,48,Technology,Intermediate,Technology Innovative Learning,3
student 8864,Art & Craft for Juniors,Pakistan,GEMS Wellington Academy (Branch),Male,10,Hybrid,48,Sports,Proficiency,Coding for kids,4
student 8865,Technology Innovative Learning,Bosnia and Herzegovina,GEMS Wellington International School,Male,10,Online,24,Sports,Proficiency,Robotics Innovative Learning,3
student 8866,Summer Camp 2022,Bahrain,British school of Bahrain,Male,2,Hybrid,48,Art,Beginner,App Development,4
student 8867,Train the Trainer,Switzerland,GEMS Wellington International School,Male,10,In-person,24,Mathematics,Proficiency,Graphics Designing,4
student 8868,Metaverse,Saudi Arabia,GEMS Wellington Academy (Branch),Male,10,In-person,24,Science,Intermediate,Game Development,4
student 8869,Young Honcho,United Arab Emirates,Safa British School,Male,10,Online,8,Music,Proficiency,AI,5
student 8870,Python Programming,United Arab Emirates,Mayoor Pvt School,Male,11,Online,24,Mathematics,Proficiency,Robotics Innovative Learning,4
student 8871,Summer Camp 2022,Oman,Indian school darsait,Female,6,Hybrid,24,Mathematics,Proficiency,Technology Innovative Learning,5
student 8872,Summer Camp 2022,United Kingdom,Mesty Croft Primary,Female,3,In-person,24,Science,Applied Tech,Technology Innovative Learning,3
student 8873,Summer Camp 2022,United Arab Emirates,Cambridge International School,Male,8,In-person,24,Sports,Applied Tech,Graphics Designing,4
student 8874,3D Designing & Modelling,Iran (Islamic Republic of),Al Adab Iranian Private School for Boys,Female,10,Hybrid,8,Science,Beginner,Coding for kids,5
student 8875,Artificial Intelligence for Non Programmers,Cuba,GEMS Metropole School-,Male,10,In-person,48,Science,Applied Tech,Python,4
student 8876,Summer Camps,Syria,Al Diyafah High School,Male,1,Online,24,Music,Applied Tech,Graphics Designing,3
student 8877,Summer Camp 2022,United Arab Emirates,JSS,Female,3,Hybrid,96,Art,Applied Tech,Graphics Designing,4
student 8878,Winter Camp 2021,Afghanistan,GEMS,Male,10,Hybrid,8,Art,Intermediate,Technology Innovative Learning,3
student 8879,Graphics Designing,Korea,Manipal Academy of Higher Education,Male,10,In-person,48,Science,Intermediate,Robotics Innovative Learning,3
student 8880,Young Product Designer,Jordan,GEMS AlBarsha National School for Boys,Female,10,Online,48,Music,Intermediate,3D Designing,4
student 8881,Summer Camp 2022,Ireland,Lusk Community College,Male,8,Hybrid,48,Music,Proficiency,3D Designing,4
student 8882,Summer Camp 2022,United Arab Emirates,Delhi Private School,Male,4,Hybrid,96,Mathematics,Proficiency,App Development,3
student 8883,Artificial Intelligence Winter Internship Program,UK,GEMS Modern Academy,Female,10,In-person,24,Science,Beginner,Graphics Designing,3
student 8884,Artificial Intelligence Program,Saudi Arabia,Jubail International School,Male,12,In-person,24,Sports,Applied Tech,3D Designing,3
student 8885,LEGO Robotics,Canada,Crescent English School,Male,10,Online,48,Mathematics,Applied Tech,Python,4
